response_id,university,question_type,true_label,predicted_label
R_2Ysn7bkaI3VsNsl,UF: University of Florida,Q2,1,1
R_RUg4zD8PXY8NeaB,UF: University of Florida,Q2,1,2
R_cY25qF1A2GStINX,UF: University of Florida,Q2,1,1
R_2ckhQv4nJ90pbbi,UF: University of Florida,Q2,0,1
R_7QCipo49G0BBpRv,UF: University of Florida,Q2,0,1
R_Dq4zYA2a1jap3Mt,UF: University of Florida,Q2,0,1
R_3Emv0M6VF9SEArM,UF: University of Florida,Q2,0,1
R_2dlN5B8YPmR7oto,UF: University of Florida,Q2,1,2
R_1CDUo72SFdWqrdx,UF: University of Florida,Q2,0,0
R_3qL75uYG08bPR3q,UF: University of Florida,Q2,0,1
R_1Okmze1wvWKWi8F,UF: University of Florida,Q2,0,0
R_22yJ0Y9pmOWjDyn,,Q2,0,0
R_1JIXEmB9Y2OEbXp,UF: University of Florida,Q2,1,1
R_29ntW4yUhZ3jVTw,ISU: Iowa State University,Q1,2,2
R_XOfJbeM43SgeyCR,ISU: Iowa State University,Q1,2,2
R_2axGo50ZAjOiDuU,ISU: Iowa State University,Q1,2,2
R_27TgnY9wXz03ROk,ISU: Iowa State University,Q1,1,1
R_2WxveTvoQ3wH7ko,ISU: Iowa State University,Q1,1,1
R_1QfQGrw6na0ToKN,ISU: Iowa State University,Q1,2,2
R_Rk2OpraIdU5dtER,ISU: Iowa State University,Q1,1,2
R_DNbGtGsltt6YgYp,ISU: Iowa State University,Q1,1,2
R_1E5JRuVxt5tFEb7,ISU: Iowa State University,Q1,2,2
R_1gTpX6pM3wk4OWR,ISU: Iowa State University,Q1,2,2
R_8dgMJbrxG7G8pHP,ISU: Iowa State University,Q1,1,2
R_2xF2oPGL6FBdgOn,ISU: Iowa State University,Q1,1,2
R_3JELb6DdyEO582a,ISU: Iowa State University,Q1,1,2
R_1dnvSLbpJgBTXTG,ISU: Iowa State University,Q1,0,0
R_1eUBRVBVFe7Kptj,ISU: Iowa State University,Q1,0,0
R_3hcqL3C6mWBEbJb,ISU: Iowa State University,Q1,1,1
R_1LBvWtTcENRcy8k,ISU: Iowa State University,Q1,2,2
R_29pUU9hefrTU9SV,ISU: Iowa State University,Q1,1,1
R_a9msDKjrZEl5GNj,ISU: Iowa State University,Q1,2,2
R_2R9SUOW2ZT1pXG8,ISU: Iowa State University,Q1,1,0
R_d7tF60k75vbvT8t,ISU: Iowa State University,Q1,2,2
R_2fdm2ahugqnQ1gy,ISU: Iowa State University,Q1,2,2
R_28TDDGf7GzEEHzc,ISU: Iowa State University,Q1,1,2
R_3fIw1FqGaReMayQ,"UTEP: University of Texas, El Paso",Q2,2,2
R_p0F6iCLjlEQhDLb,"UTEP: University of Texas, El Paso",Q2,2,1
R_3EPZt3AVC1eAWhq,"UTEP: University of Texas, El Paso",Q2,2,2
R_5tJ3ynU4siwIVWS,UF: University of Florida,Q3,0,0
R_6f2JAYNwP81ksnH,UF: University of Florida,Q3,1,1
R_1Sjc3roe8FisWlK,UF: University of Florida,Q3,1,1
R_7EFRGsa74t7oM38,UF: University of Florida,Q3,1,1
R_1KdQca4KWwKdD4Y,UF: University of Florida,Q3,1,2
R_5kGqmTz1vdukKyK,UF: University of Florida,Q3,1,1
R_5CBDHIlaFdj9lId,UF: University of Florida,Q3,1,1
R_6pAY1Q8n5arb4M9,UF: University of Florida,Q3,1,1
R_6rOQj5qVrXuAwiP,UF: University of Florida,Q3,0,0
R_3prtB5xdbyn3lHd,UF: University of Florida,Q3,0,1
R_6n75A5TuRRb8loF,UF: University of Florida,Q3,1,1
R_3DjssqxHrlc9va2,UF: University of Florida,Q3,1,1
R_6EbAVWqL3pqCIBT,UF: University of Florida,Q3,1,1
R_1FPx1OjtRRqNupz,UF: University of Florida,Q3,1,1
R_1P5SP3qsdZ2HRP0,UF: University of Florida,Q3,1,2
R_5gK7xhiFiQDc6kh,UF: University of Florida,Q3,1,2
R_708WX9eJAXho1M7,UF: University of Florida,Q3,0,1
R_6PAmsAB2DIovf26,,Q3,1,1
R_3kRcNmN3w7xthd1,UF: University of Florida,Q3,1,1
R_5MLNMWlrdIf7FW7,UF: University of Florida,Q3,0,1
R_5pD4dbFCNbp9XTH,UF: University of Florida,Q3,1,2
R_52PYXUm2b2fRsbM,UF: University of Florida,Q3,1,1
R_1q7GF4zeSCW6Lgt,UF: University of Florida,Q3,1,1
R_3GjgeOrkp430l6g,UF: University of Florida,Q3,1,2
R_7mRkMVTi5G3y8SZ,UF: University of Florida,Q3,0,0
R_3pu04idHWaoye1P,UF: University of Florida,Q3,1,1
R_5MYB7xbQeHOO9rP,UF: University of Florida,Q3,1,1
R_5dEtdaqgptWpRqU,UF: University of Florida,Q3,1,1
R_5r7J416BO7270iX,UF: University of Florida,Q3,1,1
R_32nUsTCDIoepgYu,UF: University of Florida,Q3,0,1
R_1OU9X6ExOijr4X3,UF: University of Florida,Q3,1,1
R_3TgX0eQJ92QnKjT,UF: University of Florida,Q3,1,1
R_7Dvfn8EScYZbh5A,UF: University of Florida,Q3,1,1
R_3AHrftA3jFePBYd,UF: University of Florida,Q3,2,2
R_11aJ3cfI0bDKxom,UF: University of Florida,Q3,1,1
R_5fdAQJTHurpx44s,UF: University of Florida,Q3,1,1
R_7FUScCCZMiaK40h,UF: University of Florida,Q3,2,2
R_1D6PR4bgRK1fIKT,UF: University of Florida,Q3,0,0
R_71ib9FDCtiMdLHi,UF: University of Florida,Q3,1,0
R_75GAPg8OLOb019L,UF: University of Florida,Q3,1,1
R_5BFh78XlBiyCl3j,UF: University of Florida,Q3,1,0
R_1MSRO5fSQNYzRhk,UF: University of Florida,Q3,1,2
R_52McQwPqUJMCJ8l,UF: University of Florida,Q3,1,1
R_51VmIJwuL5hq5JT,UF: University of Florida,Q3,2,2
R_33fJS5tTlZLDChO,UF: University of Florida,Q3,1,2
R_5fPJ0K0qs0M5Ndv,UF: University of Florida,Q3,2,2
R_7rpwISz2NGts20i,UF: University of Florida,Q3,1,1
R_5HOV47Y6SiAFvZn,UF: University of Florida,Q3,1,2
R_3vArAD8WcItpXpf,UF: University of Florida,Q3,1,2
R_710I5UYMVp9RYwx,UF: University of Florida,Q3,1,1
R_6QF3nHP5N5mf6Nt,UF: University of Florida,Q3,0,1
R_3R3ZPjqLAzxJ07n,UF: University of Florida,Q3,1,1
R_7ARNGecEe0nQqId,UF: University of Florida,Q3,2,2
R_5k0lgVz79EdpbwJ,UF: University of Florida,Q3,1,1
R_5ogPKgku3CfrXtW,UF: University of Florida,Q3,1,1
R_6fPmEWEamRphBPA,UF: University of Florida,Q3,2,2
R_5bQapqbluhObCWO,UF: University of Florida,Q3,1,1
R_52PIzgED58tfzVv,UF: University of Florida,Q3,1,1
R_7WDbZ32ZNybh7Vl,UF: University of Florida,Q3,0,0
R_3CDfsfW027lM41H,UF: University of Florida,Q3,1,2
R_5TC7lQssV2wprpm,UF: University of Florida,Q3,1,1
R_1VJAPHKtCT9jVFo,UF: University of Florida,Q3,1,1
R_191FRVR2Pbc3ilH,UF: University of Florida,Q3,1,1
R_3jHSEpkLfp7KXPH,UF: University of Florida,Q3,0,1
R_3jZdJrrOie2R5BH,UF: University of Florida,Q3,2,2
R_1o6AUF1nDMrlJOI,UF: University of Florida,Q3,0,1
R_6cvdCsMKmSrSbfh,UF: University of Florida,Q3,1,0
R_1mmHwSeaSiUgqyT,UF: University of Florida,Q3,1,1
R_6f3RBWd7pESfeaW,UF: University of Florida,Q3,2,2
R_5EcDAWuQNdphsKB,UF: University of Florida,Q3,0,1
R_2axUzEdQEVNcYxZ,UF: University of Florida,Q1,1,1
R_bE1WQrorAN4TxS1,UF: University of Florida,Q1,0,1
R_1pZ38OBWPH40rXQ,UF: University of Florida,Q1,0,1
R_3Ic6jHu5XT17XAp,UF: University of Florida,Q1,1,1
R_W03kc79KofbGISZ,UF: University of Florida,Q1,0,2
R_3hc1f2f6aNrqRWU,UF: University of Florida,Q1,0,1
R_1jxCcm2EVh20ivB,UF: University of Florida,Q1,0,1
R_3fk208ryYqLI8wo,UF: University of Florida,Q1,0,1
R_1gNs1RzNEsd4EQK,UF: University of Florida,Q1,0,1
R_3qs5goZIsBmUqLr,UF: University of Florida,Q1,0,1
R_28HXJe5hPJiKYvq,Other university:,Q1,0,1
R_6zENg8ZqDL2R6NP,UF: University of Florida,Q1,0,1
R_PN9EHIhg162qBWh,UF: University of Florida,Q1,0,1
R_12FpowXCnZZub3M,UF: University of Florida,Q1,0,1
R_3k0zZXwyth2iLbp,UF: University of Florida,Q1,0,1
R_1ocEL0hVlJbPrSJ,UF: University of Florida,Q1,1,2
R_TvVmGpA5A8sJMg9,UF: University of Florida,Q1,0,2
R_1jvREj3Vh4JZYr9,UF: University of Florida,Q1,0,1
R_2e4LDZ9gJ8akzMm,UF: University of Florida,Q1,1,1
R_3iED9dXG3vMkQtO,UF: University of Florida,Q1,1,0
R_SWa6KpztPFgaH4d,UF: University of Florida,Q1,1,2
R_3j2mBrl56eg5472,UF: University of Florida,Q1,1,1
R_22FjvlOAWJ40wYV,UF: University of Florida,Q1,1,1
R_3HCy8H6Id2E8xp2,UF: University of Florida,Q1,0,1
R_3O00uQ2kSsIHE8L,UF: University of Florida,Q1,1,1
R_wZwmLYtTBPyDFDz,UF: University of Florida,Q1,0,1
R_Rrd8uNImBOCZ2gx,UF: University of Florida,Q1,1,1
R_1pSvjYMNwt2KLPu,UF: University of Florida,Q1,0,1
R_3PdA4XvblNA4ifX,UF: University of Florida,Q1,0,0
R_TiTu4HTYUXQBmH7,UF: University of Florida,Q1,0,1
R_0psEIPRnolBvo7T,UF: University of Florida,Q1,0,1
R_ehti7b1UuCdZ3IB,UF: University of Florida,Q1,0,1
R_3Q02Uz64JoEDQun,UF: University of Florida,Q1,0,0
R_2DOBQpj8vv1IIrY,UF: University of Florida,Q1,1,1
R_YbEWRRVxWhJxiU1,UF: University of Florida,Q1,1,1
R_3dX7z9Eran1niln,UF: University of Florida,Q1,1,1
R_3LZ4zns72Ugwq21,UF: University of Florida,Q1,0,0
R_12x1SNm2PF9Iwsv,UF: University of Florida,Q1,2,2
R_sZiLdceASgYZTSV,UF: University of Florida,Q1,0,1
R_1GyvTlBg10lV6Ea,UF: University of Florida,Q1,0,1
R_29nx98mTCTGojHL,UF: University of Florida,Q1,0,0
R_2zN5kzF16UQxfCI,UF: University of Florida,Q1,1,1
R_2t0hRCsV4zuyKlD,UF: University of Florida,Q1,0,1
R_3qyrhhsNpxpFfK0,UF: University of Florida,Q1,0,1
R_R33PZNIBO2GIBc5,UF: University of Florida,Q1,0,0
R_1pnAarAtdp1Ovgu,UF: University of Florida,Q1,0,1
R_2U9nJMzCj7JYVAd,UF: University of Florida,Q1,0,1
R_3Rt0WHXog4dsuG2,UF: University of Florida,Q1,0,1
R_3qecDzy6VNi5Ciz,UF: University of Florida,Q1,0,0
R_2xXaLkxlxxHrdFG,UF: University of Florida,Q1,1,1
R_3plOQLIA3Cm8nN7,UF: University of Florida,Q1,0,1
R_3OlAYb7NfPIlAV2,UF: University of Florida,Q1,0,2
R_2YsQIm4vodmsNXs,UF: University of Florida,Q1,0,1
R_1psb9hIz9JIwoo6,UF: University of Florida,Q1,0,1
R_325DVUJh0vmAQ9M,UF: University of Florida,Q1,0,1
R_2f26Tq5LnG4uRiH,UF: University of Florida,Q1,0,1
R_2y2gZ7o9zunL5ER,UF: University of Florida,Q1,0,1
R_2tyPkJrbCBwnUO7,UF: University of Florida,Q1,0,1
R_3fUfWXj9WBanb8u,UF: University of Florida,Q1,1,1
R_6GzuH2AJ0ooUBnr,UF: University of Florida,Q1,1,2
R_3EyjIJenUgM5Xzm,UF: University of Florida,Q1,1,1
R_1CHdyx3mIjjrJCl,UF: University of Florida,Q1,0,1
R_2B9gEeL4AaswYbt,UF: University of Florida,Q1,0,0
R_Um5yxfYzjGApcbL,UF: University of Florida,Q1,0,1
R_OkTPKLbdZfXogyR,UF: University of Florida,Q1,0,1
R_5A6MkjpmdbnTNBL,UF: University of Florida,Q1,0,1
R_1QzPHWGWPrQiigw,UF: University of Florida,Q1,0,1
R_1FLdHh1S6LK9Uyd,UF: University of Florida,Q1,1,1
R_1dg0ND2VRVymdAq,UF: University of Florida,Q1,0,1
R_2uqiyL7a6xYe1Cu,UF: University of Florida,Q1,0,1
R_3qII9X98ejQxdfy,UF: University of Florida,Q1,0,1
R_D5yGKOLKAMINYdP,UF: University of Florida,Q1,1,2
R_2e25SP747IjcqXi,UF: University of Florida,Q1,1,1
R_2P1JAGBYotSvjUE,UF: University of Florida,Q1,2,2
R_3NTVqWGauMN166Y,UF: University of Florida,Q1,0,2
R_28IDI1K78Lee3mG,UF: University of Florida,Q1,1,2
R_2YrGaINRHS7lFXP,UF: University of Florida,Q1,1,2
R_3nk1SGbaw76vr0P,UF: University of Florida,Q1,0,1
R_6F2Q2DN0SrQwYAa,ISU: Iowa State University,Q5,2,2
R_5dahScFCd55lccN,ISU: Iowa State University,Q5,1,1
R_1q3rxomtvT2yDFo,ISU: Iowa State University,Q5,1,1
R_73ea097tfA1a2ly,ISU: Iowa State University,Q5,1,1
R_8rkV1v92RzWNg9H,ISU: Iowa State University,Q5,1,2
R_6eFDJZrymjAjM6e,ISU: Iowa State University,Q5,1,1
R_7L6EuWQVV3Vc7kd,ISU: Iowa State University,Q5,2,2
R_7RO2MvqrAOYIpRf,ISU: Iowa State University,Q5,1,2
R_5WuxtqA9AwINx9D,ISU: Iowa State University,Q5,1,2
R_6fSI7yvLBIlUZUp,ISU: Iowa State University,Q5,1,1
R_7qJBH6wiKmenHu1,ISU: Iowa State University,Q5,1,1
R_6PTPqLerhtOBPQl,ISU: Iowa State University,Q5,1,2
R_7uVT5JwFutYuUNk,ISU: Iowa State University,Q5,1,2
R_7tlo45IlHK4JQcb,ISU: Iowa State University,Q5,1,2
R_7rPaUO4yAqQJfyQ,ISU: Iowa State University,Q5,2,2
R_62L6BcsIde16pvD,ISU: Iowa State University,Q5,1,2
R_71YfguVmAeLdWB5,ISU: Iowa State University,Q4,1,0
R_5FsQmj2YxEz599u,ISU: Iowa State University,Q4,0,1
R_3thxRrflwUltlDH,ISU: Iowa State University,Q4,0,1
R_579kqVKX1AGGGE1,ISU: Iowa State University,Q4,0,0
R_3CarpUGbizlsMQF,ISU: Iowa State University,Q4,1,1
R_14U2fa9sH0ngQcF,ISU: Iowa State University,Q4,2,2
R_5agixZHgZYhiufb,ISU: Iowa State University,Q4,0,0
R_7NwbIsPUfIjDTgD,ISU: Iowa State University,Q4,2,2
R_7pwK0D86lU4DGrn,ISU: Iowa State University,Q4,2,2
R_3NsKTAJNqctlqHn,ISU: Iowa State University,Q4,0,0
R_7HMZpqnfGMQ1OmZ,ISU: Iowa State University,Q4,0,0
R_6daUI4YrWTcCPZr,ISU: Iowa State University,Q4,1,2
R_7fy5aZeiU9zX0Rt,ISU: Iowa State University,Q4,0,1
R_1T5C9v4J2UaB78d,ISU: Iowa State University,Q4,2,2
R_7NwCfch8nYmYYD1,ISU: Iowa State University,Q4,0,0
R_6gu3IOn7bwNzHdx,ISU: Iowa State University,Q4,2,2
R_71Y1m8Z4USRAlIB,ISU: Iowa State University,Q4,0,2
R_5lTzA6c7y7zULOF,ISU: Iowa State University,Q4,0,0
R_3mqreFCGNT4C1pf,ISU: Iowa State University,Q4,2,2
R_5MGNPkbMSfvEQ4I,ISU: Iowa State University,Q4,1,2
R_3Ia9YLh4riFHBKx,ISU: Iowa State University,Q4,1,2
R_1rrcNDBhigOJMYL,MSU: Michigan State University,Q1,1,1
R_3YPxnom0pYPhhN7,MSU: Michigan State University,Q1,0,1
R_3zVbCvOBru17Kyt,MSU: Michigan State University,Q1,1,0
R_7EKM1d6TyzPzV2M,MSU: Michigan State University,Q1,1,0
R_1mPDQRQivLmB0Ln,MSU: Michigan State University,Q1,0,0
R_1x20Qvk81v0CVXP,MSU: Michigan State University,Q1,0,0
R_1kaYBm2DnjdW0kc,MSU: Michigan State University,Q1,1,0
R_13VOsG7XqVs1Sq0,MSU: Michigan State University,Q1,1,1
R_59uL8jXt6GsON3A,MSU: Michigan State University,Q1,2,1
R_38G6ll6T62X9wRj,MSU: Michigan State University,Q1,0,0
R_3dgBkeBlhbcDtoR,MSU: Michigan State University,Q1,1,1
R_6MGXqv8IaItaKIl,MSU: Michigan State University,Q1,2,1
R_11z01Xs29MD2l2x,MSU: Michigan State University,Q1,1,0
R_7trjWHeGVGFpkZ7,Other university:,Q1,0,0
R_1iese2Z0ZEHVCgj,MSU: Michigan State University,Q1,1,0
R_7J4vaNaKpQuCYwE,MSU: Michigan State University,Q1,1,0
R_6PFtaI3ePCjL6jo,MSU: Michigan State University,Q1,2,1
R_3Va2gufsSPmEK1H,MSU: Michigan State University,Q1,0,0
R_69zscSJurwTPdrX,MSU: Michigan State University,Q1,0,0
R_1ac7Y73kCavEeL7,MSU: Michigan State University,Q1,1,1
R_5CHZZWLGALTDjJ0,MSU: Michigan State University,Q1,0,0
R_6cMqBsGyITeFSsV,MSU: Michigan State University,Q1,1,1
R_7Jn0lIOYwdXgVYH,MSU: Michigan State University,Q1,1,1
R_60fRjcBkqTvXQBj,MSU: Michigan State University,Q1,1,0
R_6UwYwSiXzUahELT,MSU: Michigan State University,Q1,1,0
R_3QhMKVeUIiUk9Xx,MSU: Michigan State University,Q1,1,1
R_6hciMyXhxHOq7PX,MSU: Michigan State University,Q1,1,0
R_7VdxtJcHI68zIhN,MSU: Michigan State University,Q1,0,0
R_7JNok79i02eovWF,MSU: Michigan State University,Q1,0,0
R_6Konj5zP7AmMx97,MSU: Michigan State University,Q1,1,0
R_7gMVqWKuvvRreMV,MSU: Michigan State University,Q1,0,1
R_6bNQW251Rt1uQFW,MSU: Michigan State University,Q1,1,1
R_3kiyb4pjnrNV3yP,MSU: Michigan State University,Q1,1,0
R_36LzFJJjugZFCqB,MSU: Michigan State University,Q1,0,0
R_6WwIJOaXHQrd9CN,MSU: Michigan State University,Q1,0,0
R_36kIxZHBXmSVsj5,MSU: Michigan State University,Q1,1,1
R_51nTvWE8CtGAjMt,MSU: Michigan State University,Q1,2,2
R_6fqTg7qLbPFJCo1,MSU: Michigan State University,Q1,0,0
R_7EnKopAC3kerUGZ,MSU: Michigan State University,Q1,0,0
R_3EgNp6QidZ6Acw4,MSU: Michigan State University,Q1,1,1
R_34WyoEycwlHfI1b,MSU: Michigan State University,Q1,2,2
R_5JIbpIlsyqPEFeV,MSU: Michigan State University,Q1,0,0
R_3iD1pXuwcmDeAjD,MSU: Michigan State University,Q1,2,2
R_5Ed9L8dmxr1pHvA,MSU: Michigan State University,Q1,2,1
R_75u59XTkmhThAlE,MSU: Michigan State University,Q1,2,2
R_7PLBvsheONZHviA,MSU: Michigan State University,Q1,0,0
R_7fNwYuqKpftkqkS,MSU: Michigan State University,Q1,1,1
R_3ouMzXlE2gZwQjq,MSU: Michigan State University,Q1,0,1
R_6EbzxTbYF10swpf,MSU: Michigan State University,Q1,0,0
R_3FLM1K1qvXJAQrD,MSU: Michigan State University,Q1,1,1
R_6y9L42XTqI8eEGR,MSU: Michigan State University,Q1,0,0
R_5pRWS0OdFxLiL4o,MSU: Michigan State University,Q1,1,2
R_11zW0WQjk6A6cdi,MSU: Michigan State University,Q1,0,0
R_1uVb1eZOU8fPDJr,MSU: Michigan State University,Q1,1,0
R_3FFjg6DFlhGHNiv,MSU: Michigan State University,Q1,1,1
R_3BJHGXDHJ72OEal,MSU: Michigan State University,Q1,2,2
R_7YP3yKEvDE3m1t2,MSU: Michigan State University,Q1,1,1
R_5hYnnVXO65On5uZ,MSU: Michigan State University,Q1,0,0
R_62x1G5AEuxhOa1a,MSU: Michigan State University,Q1,1,1
R_3BxvaMpIApMj0Dq,MSU: Michigan State University,Q1,1,0
R_5gwrShzSNJxnjes,MSU: Michigan State University,Q1,2,2
R_51ZwoosOdWtlI0d,MSU: Michigan State University,Q1,0,0
R_5wFCc6Mdb9FLS5H,MSU: Michigan State University,Q1,0,0
R_3hz2MHsu9DNdBhq,MSU: Michigan State University,Q1,1,0
R_6x3q6mPvo7T4Wbf,MSU: Michigan State University,Q1,1,1
R_6fcA4P67V3OUPgB,MSU: Michigan State University,Q1,1,2
R_5Qm8ar9HkrwtTtd,MSU: Michigan State University,Q1,1,0
R_7PYipIIW1ol5PaI,MSU: Michigan State University,Q1,0,0
R_1Q73HFL8qM31sit,MSU: Michigan State University,Q1,1,0
R_5iVWAbNh8L2KGvn,MSU: Michigan State University,Q1,2,2
R_1cTsI5uiUtLBIIh,MSU: Michigan State University,Q1,1,1
R_6PZ6ELr5SFUmScy,MSU: Michigan State University,Q1,1,0
R_6IPUNkx07J7OSQx,MSU: Michigan State University,Q1,2,2
R_3FfxeLqezypACSn,MSU: Michigan State University,Q1,0,0
R_56Zu6qKWcPuHv3P,MSU: Michigan State University,Q1,0,0
R_3mqFfcRcx3ovOql,MSU: Michigan State University,Q1,1,0
R_7ohIgJOjFCHuVcf,MSU: Michigan State University,Q1,0,0
R_6Hc6rwOCNxNUoj7,MSU: Michigan State University,Q1,0,1
R_6b2ZbpSxAfMxFg3,MSU: Michigan State University,Q1,1,1
R_3ZSLXxjF3rCamSR,MSU: Michigan State University,Q1,0,1
R_6GB6MVoPxsx0oYx,MSU: Michigan State University,Q1,2,2
R_7k3YQfn6NOvrXTX,MSU: Michigan State University,Q1,1,1
R_7JqSkBna4vbWjAz,MSU: Michigan State University,Q1,0,0
R_6GWj3ErZsy6pKA8,MSU: Michigan State University,Q1,2,2
R_6Ioa580RfwN2xQu,MSU: Michigan State University,Q1,1,0
R_5DNdcTTWedVsgmk,MSU: Michigan State University,Q1,1,0
R_3PuH6v1YMozuGdh,MSU: Michigan State University,Q1,0,0
R_1XcJ1tj1P7rbixN,MSU: Michigan State University,Q1,1,1
R_5rZY8sEqUkNfzYJ,MSU: Michigan State University,Q1,2,1
R_72twU7BEwZj3CKc,MSU: Michigan State University,Q1,2,1
R_71MAssMkXMlu2c6,MSU: Michigan State University,Q1,1,0
